index,localx,gap,realv,fid
463,545,22,6,291
463,551,22.5,10,292
463,561,22,6,293
463,567,22.5,7,294
463,574,22,6,295
463,580,23.5,7,296
463,587,23,4,297
463,591,29,7,298
463,598,23,10,299
463,608,24,3,300
463,611,24.5,3,301
463,614,30,10,302
463,624,26.5,10,303
474,634,67,7,297
474,641,66,8,298
474,649,71,7,299
474,656,74.5,8,300
474,664,70,8,301
474,672,69,8,302
474,680,67.5,8,303
474,688,68.5,7,304
474,695,68,9,305
474,704,67,8,306
474,712,66,7,307
474,719,65.5,8,308
474,727,65,8,309
474,735,64.5,8,310
474,743,61.5,7,311
474,750,61,7,312
474,757,60.5,7,313
474,764,60.5,8,314
474,772,60,8,315
475,728,58,6,297
475,734,63,10,298
475,744,59,10,299
475,754,65,2,300
475,756,58.5,10,301
475,766,52.5,7,302
475,773,53,7,303
475,780,55,7,304
475,796,52.5,7,306
475,803,53,7,307
475,810,52.5,7,308
475,817,52.5,7,309
475,824,54,6,310
475,830,54.5,6,311
475,836,57,5,312
475,841,56.5,9,313
475,850,54,8,314
475,858,54,7,315
475,865,53.5,7,316
475,872,52.5,7,317
478,552,75.5,6,299
478,558,74,7,300
478,565,74,7,301
478,572,74,9,302
478,581,74,9,303
478,590,73.5,8,304
478,598,72,9,305
478,607,72,8,306
478,615,72,8,307
478,623,70.5,7,308
478,630,71,8,309
478,638,71,8,310
478,646,71,8,311
478,654,70.5,8,312
478,662,70.5,7,313
478,669,69,8,314
478,677,69,8,315
478,685,70,8,316
478,693,71.5,8,317
478,701,67,8,318
478,709,67.5,7,319
478,716,66.5,8,320
478,724,65.5,8,321
483,462,69,5,303
483,467,70,5,304
483,472,72.5,6,305
483,478,72,8,306
483,486,68,5,307
483,491,70,3,308
483,494,72.5,9,309
483,503,69.5,9,310
483,512,64.5,3,311
483,515,67.5,1,312
483,516,72,8,313
483,524,67,7,314
483,531,66.5,5,315
483,536,68,4,316
483,540,69,6,317
483,546,69,7,318
483,553,67,4,319
483,557,68.5,7,320
483,564,67.5,7,321
483,571,66.5,3,322
483,574,70,7,323
483,581,68.5,4,324
483,585,71.5,7,325
483,592,68.5,6,326
483,598,68,6,327
483,604,70,5,328
483,609,70.5,6,329
483,615,69,3,330
483,618,75.5,8,331
483,626,69.5,4,332
483,630,72,7,333
483,637,70.5,5,334
483,642,72,3,335
483,645,75.5,8,336
483,653,73.5,3,337
483,656,75.5,9,338
483,665,70.5,5,339
483,670,71,4,340
483,674,74,8,341
483,682,72.5,4,342
483,686,76.5,6,343
483,692,74,6,344
483,698,74,6,345
483,704,73.5,5,346
483,709,74,5,347
483,714,75.5,8,348
483,722,72,1,349
483,723,78.5,9,350
483,732,76,7,351
483,739,75,6,352
483,745,75.5,6,353
483,751,74,5,354
483,756,75,3,355
483,759,79,6,356
483,765,78.5,5,357
483,770,79,2,358
483,772,85.5,2,359
505,785,48,7,316
505,792,49,7,317
505,799,49.5,7,318
505,806,50.5,3,319
505,809,58.5,7,320
505,816,58.5,7,321
505,823,58.5,7,322
505,830,59,7,323
505,837,59,3,324
505,840,63.5,7,325
505,847,60.5,10,326
505,862,64.5,7,328
521,149,35.5,4,323
521,153,38,1,324
521,152,36.5,5,325
521,157,38.5,5,326
521,162,37.5,5,327
521,176,36,5,329
521,181,42.5,9,330
521,190,42.5,6,331
521,196,42.5,5,332
521,201,44,5,333
521,206,45.5,1,334
521,207,45.5,1,335
526,361,231.5,8,327
526,369,232.5,8,328
526,377,230,8,329
526,385,222.5,8,330
526,393,231.5,7,331
526,400,233,8,332
526,408,233,8,333
526,416,233.5,7,334
526,423,231.5,7,335
526,430,234.5,9,336
526,439,230.5,8,337
526,447,231,9,338
526,456,230.5,7,339
526,463,231.5,8,340
526,471,235,7,341
526,478,233.5,4,342
526,482,240,4,343
583,553,98,7,367
583,560,97,6,368
583,566,97,6,369
583,572,96,8,370
583,580,96,8,371
583,588,96,9,372
583,597,93.5,8,373
583,605,94,8,374
583,613,93.5,7,375
583,620,92.5,8,376
583,628,92.5,8,377
583,636,91.5,8,378
583,644,93,9,379
583,653,91.5,8,380
583,661,90.5,8,381
583,669,90.5,7,382
583,676,90,8,383
583,684,89.5,9,384
583,693,89.5,7,385
583,700,88.5,9,386
583,709,88,9,387
583,718,86.5,7,388
583,733,87,8,390
583,741,86,9,391
583,750,86,8,392
583,758,85.5,9,393
583,767,85,7,394
583,774,85,8,395
583,782,84.5,8,396
583,790,83.5,8,397
583,798,83.5,8,398
583,806,83,8,399
583,814,83,8,400
583,822,83,7,401
583,829,84,9,402
583,838,83.5,7,403
583,845,81.5,8,404
595,168,86,7,377
595,175,82,7,378
595,182,81.5,8,379
595,190,81.5,7,380
595,197,84.5,8,381
595,205,80,5,382
595,210,80,8,383
595,218,82.5,8,384
595,226,78.5,6,385
595,232,79.5,8,386
595,240,80,8,387
595,248,76.5,6,388
595,254,79.5,8,389
595,262,74.5,7,390
595,269,75.5,7,391
595,276,74,8,392
595,284,77,8,393
595,292,75.5,6,394
595,298,76.5,8,395
595,306,73.5,7,396
595,313,74.5,8,397
595,321,73,7,398
595,328,71.5,7,399
595,335,72.5,7,400
595,342,73.5,8,401
595,350,66,8,402
595,358,68.5,5,403
595,363,69,7,404
595,370,67.5,9,405
595,379,66.5,7,406
595,386,66.5,7,407
595,393,65,6,408
595,399,65.5,7,409
595,406,65,7,410
595,413,64,7,411
595,420,64,7,412
595,427,59.5,7,413
595,441,58,7,415
595,456,59,7,417
595,463,55.5,7,418
595,470,59,7,419
595,477,54.5,6,420
595,483,53,7,421
595,490,54,8,422
595,498,52,6,423
595,504,51,6,424
595,534,50.5,5,428
595,539,49,6,429
595,545,48,4,430
595,549,54.5,6,431
595,555,54,7,432
595,562,53.5,9,433
595,571,53,5,434
595,576,52,7,435
595,583,52,6,436
595,589,52.5,7,437
595,596,52,9,438
595,605,52,4,439
595,609,51,7,440
595,616,51.5,7,441
595,623,52,7,442
595,630,50.5,6,443
595,636,51.5,7,444
595,643,50.5,6,445
595,649,51,7,446
595,656,51.5,6,447
595,662,51,8,448
595,670,50.5,6,449
595,676,52,8,450
595,684,51.5,5,451
595,689,52,8,452
595,697,52,8,453
595,705,46.5,4,454
595,709,51.5,7,455
595,716,52.5,5,456
595,721,53,6,457
595,727,54,6,458
595,733,55.5,6,459
595,739,55.5,6,460
595,745,55.5,7,461
